Date,Open,High,Low,Close,Adj Close,Volume
2021-03-17,111.309998,111.459999,108.930000,110.459999,110.459999,10118000
2021-03-18,109.279999,110.269997,107.500000,107.620003,107.620003,7811400
2021-03-19,108.349998,108.849998,105.830002,106.339996,106.339996,20374200
2021-03-22,106.400002,108.419998,106.000000,107.570000,107.570000,7605100
2021-03-23,107.739998,107.949997,105.669998,106.250000,106.250000,5657800
2021-03-24,106.629997,107.279999,104.940002,104.970001,104.970001,5731300
2021-03-25,105.010002,107.699997,104.059998,107.349998,107.349998,8149000
2021-03-26,107.250000,110.000000,107.180000,109.900002,109.900002,6165400
2021-03-29,109.010002,110.250000,106.589996,109.129997,109.129997,5167100
2021-03-30,108.419998,110.449997,108.279999,110.269997,110.269997,4552900
2021-03-31,110.330002,111.620003,109.190002,109.269997,109.269997,6478400
2021-04-01,110.059998,110.059998,108.199997,109.379997,109.379997,5791800
2021-04-05,109.910004,111.349998,109.870003,111.019997,111.019997,6913100
2021-04-06,111.379997,113.820000,111.099998,113.150002,113.150002,6745200
2021-04-07,112.910004,113.760002,112.650002,113.190002,113.190002,5629600
2021-04-08,113.650002,113.959999,112.680000,113.040001,113.040001,5009600
2021-04-09,112.910004,112.940002,111.970001,112.059998,112.059998,1160409
